name,sku,price,stock
"Sony Tablet",SKU-000001,22489707,593
"Samsung Smartphone",SKU-000002,42681369,305
"HP Camera",SKU-000003,14400008,446
"Dell Laptop",SKU-000004,5631708,685
"HP Tablet",SKU-000005,42901281,978
"Samsung Smartphone",SKU-000006,42543562,385
"HP Smartphone",SKU-000007,42496804,879
"Sony Smartphone",SKU-000008,42536996,97
"HP Monitor",SKU-000009,21056232,536
"HP Camera",SKU-000010,5550406,459
"HP Monitor",SKU-000011,48479325,883
"Apple Laptop",SKU-000012,41636380,366
"Sony Tablet",SKU-000013,4552569,468
"Apple Camera",SKU-000014,14348162,438
"HP Monitor",SKU-000015,28742128,990
"Sony Camera",SKU-000016,47307123,406
"Dell Smartphone",SKU-000017,36172404,631
"Dell Laptop",SKU-000018,26612546,749
"Samsung Monitor",SKU-000019,46618735,886
"HP Tablet",SKU-000020,14833975,123
"Dell Monitor",SKU-000021,7009388,858
"Apple Tablet",SKU-000022,17959341,122
"Apple Camera",SKU-000023,42362173,870
"Dell Monitor",SKU-000024,8876929,329
"Dell Monitor",SKU-000025,46273085,138
"Sony Smartphone",SKU-000026,26148788,601
"Apple Laptop",SKU-000027,42524446,403
"Sony Monitor",SKU-000028,16391715,330
"HP Smartphone",SKU-000029,16574189,556
"Apple Camera",SKU-000030,26499062,228
"Apple Tablet",SKU-000031,44659671,978
"Samsung Camera",SKU-000032,28962860,152
"Apple Laptop",SKU-000033,17095589,738
"HP Laptop",SKU-000034,3000640,410
"HP Camera",SKU-000035,46838202,393
"Sony Laptop",SKU-000036,1584977,852
"Apple Monitor",SKU-000037,30344933,566
"Sony Camera",SKU-000038,2856745,43
"Sony Camera",SKU-000039,18230136,357
"HP Smartphone",SKU-000040,22602600,606
"HP Camera",SKU-000041,45208288,926
"Apple Tablet",SKU-000042,18642887,233
"Sony Monitor",SKU-000043,42463936,208
"Sony Tablet",SKU-000044,11415726,401
"Samsung Smartphone",SKU-000045,39044693,292
"Samsung Camera",SKU-000046,15036700,780
"Apple Monitor",SKU-000047,8328518,966
"Dell Camera",SKU-000048,30581708,592
"Dell Tablet",SKU-000049,35966167,330
"HP Smartphone",SKU-000050,47231446,582
"Samsung Camera",SKU-000051,33469830,714
"Sony Tablet",SKU-000052,7707996,439
"HP Camera",SKU-000053,25757787,760
"Sony Smartphone",SKU-000054,23625295,47
"Sony Smartphone",SKU-000055,8983969,113
"HP Tablet",SKU-000056,25678804,564
"Apple Smartphone",SKU-000057,3373475,40
"HP Monitor",SKU-000058,48927273,559
"HP Camera",SKU-000059,2266990,875
"Dell Monitor",SKU-000060,6306839,615
"HP Tablet",SKU-000061,5526084,419
"Sony Tablet",SKU-000062,41164205,147
"Samsung Tablet",SKU-000063,4224780,268
"Apple Camera",SKU-000064,37421153,885
"Dell Camera",SKU-000065,30087189,237
"HP Smartphone",SKU-000066,25440853,993
"Apple Smartphone",SKU-000067,14358034,523
"Sony Laptop",SKU-000068,24536450,522
"Apple Smartphone",SKU-000069,13850752,883
"Apple Camera",SKU-000070,41659749,716
"Dell Camera",SKU-000071,21573389,74
"Samsung Camera",SKU-000072,23190798,541
"Apple Tablet",SKU-000073,47587026,128
"Dell Camera",SKU-000074,26847115,791
"Sony Camera",SKU-000075,11688253,58
"Sony Smartphone",SKU-000076,23629786,581
"Samsung Laptop",SKU-000077,14526595,189
"Samsung Monitor",SKU-000078,1581218,877
"Dell Monitor",SKU-000079,15067097,878
"Apple Laptop",SKU-000080,19076398,262
"Apple Smartphone",SKU-000081,39239637,80
"Samsung Camera",SKU-000082,47343722,803
"HP Smartphone",SKU-000083,46495191,545
"Dell Laptop",SKU-000084,29229347,568
"Samsung Monitor",SKU-000085,21436982,39
"Apple Smartphone",SKU-000086,33660963,607
"Apple Camera",SKU-000087,13553956,3
"Apple Smartphone",SKU-000088,18268235,130
"HP Smartphone",SKU-000089,7112534,334
"Apple Smartphone",SKU-000090,33459501,131
"Apple Laptop",SKU-000091,18109899,349
"Samsung Camera",SKU-000092,19655912,247
"Samsung Smartphone",SKU-000093,15511384,325
"Apple Camera",SKU-000094,32901294,675
"Apple Laptop",SKU-000095,42942513,554
"Dell Laptop",SKU-000096,4461224,439
"Apple Smartphone",SKU-000097,4701748,729
"Apple Laptop",SKU-000098,13859916,826
"Sony Smartphone",SKU-000099,47567616,322
"Apple Tablet",SKU-000100,3785631,553
"HP Camera",SKU-000101,1101089,682
"HP Camera",SKU-000102,38010851,375
"HP Monitor",SKU-000103,5992886,617
"Sony Laptop",SKU-000104,1731967,910
"HP Camera",SKU-000105,36343560,186
"HP Monitor",SKU-000106,3271475,232
"Dell Laptop",SKU-000107,25735238,731
"Sony Monitor",SKU-000108,12793560,860
"Sony Smartphone",SKU-000109,5960234,139
"Dell Laptop",SKU-000110,22260922,618
"Dell Monitor",SKU-000111,28366654,280
"Sony Monitor",SKU-000112,3295210,653
"Apple Camera",SKU-000113,37113129,841
"Sony Laptop",SKU-000114,49843557,692
"Apple Laptop",SKU-000115,32151883,583
"Dell Camera",SKU-000116,45170343,216
"Samsung Monitor",SKU-000117,36622651,900
"Sony Smartphone",SKU-000118,48642369,845
"Dell Laptop",SKU-000119,26898074,937
"Dell Smartphone",SKU-000120,36682573,700
"HP Tablet",SKU-000121,34736173,838
"Samsung Tablet",SKU-000122,31075482,734
"Apple Tablet",SKU-000123,23758501,39
"Apple Monitor",SKU-000124,2962837,927
"Dell Smartphone",SKU-000125,22209743,216
"Dell Camera",SKU-000126,33849698,460
"HP Tablet",SKU-000127,6830989,30
"Samsung Camera",SKU-000128,37919553,906
"Samsung Monitor",SKU-000129,5636046,181
"Apple Monitor",SKU-000130,44043106,441
"Dell Tablet",SKU-000131,44873539,829
"Samsung Camera",SKU-000132,2413590,605
"Apple Camera",SKU-000133,5463905,881
"HP Monitor",SKU-000134,12351428,238
"Dell Laptop",SKU-000135,13974405,14
"Samsung Monitor",SKU-000136,32548110,575
"Sony Monitor",SKU-000137,30303478,272
"Samsung Smartphone",SKU-000138,8533124,937
"Dell Tablet",SKU-000139,31396279,784
"Apple Tablet",SKU-000140,29964049,372
"Sony Tablet",SKU-000141,39340217,145
"Samsung Tablet",SKU-000142,1500210,948
"Apple Monitor",SKU-000143,1347613,630
"Samsung Laptop",SKU-000144,32919622,699
"Sony Laptop",SKU-000145,30250030,599
"Dell Tablet",SKU-000146,18925991,55
"HP Camera",SKU-000147,23406125,87
"Sony Laptop",SKU-000148,12428117,829
"Sony Monitor",SKU-000149,23403755,218
"Dell Monitor",SKU-000150,33248826,148
"Apple Laptop",SKU-000151,24067509,917
"Samsung Camera",SKU-000152,18009826,38
"HP Laptop",SKU-000153,12394528,856
"HP Laptop",SKU-000154,20416320,209
"Sony Monitor",SKU-000155,44095333,825
"Samsung Smartphone",SKU-000156,19041072,668
"Sony Laptop",SKU-000157,2618117,715
"Sony Tablet",SKU-000158,35986874,47
"Samsung Tablet",SKU-000159,24347712,742
"Sony Tablet",SKU-000160,24723031,100
"Samsung Monitor",SKU-000161,49222098,198
"Sony Tablet",SKU-000162,19895678,883
"Sony Tablet",SKU-000163,25469724,100
"Apple Camera",SKU-000164,6852634,125
"Apple Laptop",SKU-000165,20375769,788
"HP Monitor",SKU-000166,15802032,437
"Sony Smartphone",SKU-000167,19409122,205
"Dell Tablet",SKU-000168,11093319,404
"Sony Tablet",SKU-000169,37179177,625
"Apple Laptop",SKU-000170,14641540,574
"Dell Smartphone",SKU-000171,17997316,768
"Apple Laptop",SKU-000172,5794564,93
"Dell Monitor",SKU-000173,3571038,743
"Dell Tablet",SKU-000174,9599939,5
"Sony Tablet",SKU-000175,9362182,268
"Sony Monitor",SKU-000176,19081689,727
"Apple Monitor",SKU-000177,44634892,511
"Apple Camera",SKU-000178,40115352,695
"Dell Tablet",SKU-000179,16816144,947
"HP Laptop",SKU-000180,36100865,767
"Sony Monitor",SKU-000181,9292946,374
"Sony Monitor",SKU-000182,47113187,163
"Sony Camera",SKU-000183,49917521,646
