name,sku,price,stock
"HP Tablet",SKU-000001,49412033,722
"Sony Tablet",SKU-000002,29450548,703
"Samsung Smartphone",SKU-000003,49699196,17
"Apple Monitor",SKU-000004,17674281,518
"Sony Smartphone",SKU-000005,49868198,780
"Dell Tablet",SKU-000006,38955496,950
"Samsung Laptop",SKU-000007,19262727,507
"Sony Tablet",SKU-000008,29884833,856
"HP Laptop",SKU-000009,31945506,424
"Apple Tablet",SKU-000010,22055577,887
"HP Monitor",SKU-000011,15047855,566
"Dell Monitor",SKU-000012,44704055,366
"HP Camera",SKU-000013,29640271,696
"Apple Tablet",SKU-000014,26086061,885
"Samsung Laptop",SKU-000015,48668587,522
"Sony Camera",SKU-000016,27718022,419
"Dell Monitor",SKU-000017,8553584,535
"Sony Tablet",SKU-000018,25887309,634
"Samsung Smartphone",SKU-000019,26014722,914
"HP Laptop",SKU-000020,11254816,415
"Apple Laptop",SKU-000021,4806707,940
"Dell Camera",SKU-000022,9338263,320
"Sony Tablet",SKU-000023,38465265,259
"Sony Tablet",SKU-000024,26576387,692
"Dell Monitor",SKU-000025,26995840,346
"Dell Monitor",SKU-000026,37307903,813
"HP Tablet",SKU-000027,11977567,327
"Samsung Smartphone",SKU-000028,22581928,38
"Samsung Monitor",SKU-000029,25138644,566
"Dell Tablet",SKU-000030,33899220,225
"Apple Laptop",SKU-000031,28764315,255
"Apple Tablet",SKU-000032,31483597,702
"Apple Monitor",SKU-000033,48330020,136
"Samsung Camera",SKU-000034,37094060,867
"HP Monitor",SKU-000035,24810853,597
"Sony Tablet",SKU-000036,31791135,883
"Apple Tablet",SKU-000037,39288048,958
"Apple Smartphone",SKU-000038,8364624,983
"Samsung Monitor",SKU-000039,17573714,511
"HP Monitor",SKU-000040,7740869,844
"Sony Camera",SKU-000041,19498601,15
"Sony Tablet",SKU-000042,35011617,168
"Apple Laptop",SKU-000043,46489179,960
"Dell Laptop",SKU-000044,47089858,441
"Samsung Laptop",SKU-000045,45033041,637
"Dell Tablet",SKU-000046,10714555,29
"Samsung Laptop",SKU-000047,43956857,567
"Apple Smartphone",SKU-000048,43980146,642
"Apple Laptop",SKU-000049,41440006,374
"HP Monitor",SKU-000050,1243859,832
"Sony Tablet",SKU-000051,27790823,412
"HP Smartphone",SKU-000052,46634476,21
"Samsung Camera",SKU-000053,18067973,832
"Samsung Tablet",SKU-000054,26226523,160
"Samsung Monitor",SKU-000055,38817922,493
"Apple Laptop",SKU-000056,39963830,364
"Sony Camera",SKU-000057,43872933,578
"Sony Monitor",SKU-000058,14276461,385
"HP Tablet",SKU-000059,39343644,398
"Dell Laptop",SKU-000060,49039674,895
"HP Monitor",SKU-000061,19733506,622
"Apple Laptop",SKU-000062,42178780,654
"Samsung Smartphone",SKU-000063,16489661,87
"Apple Camera",SKU-000064,25176494,690
"Samsung Smartphone",SKU-000065,3771366,445
"Sony Monitor",SKU-000066,36574450,844
